unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
435,3,49,10.0074,0.2507,20.0,489.05,604.92,1502.81,1306.91,10.52,15.49,393.76,2318.93,8766.03,1.26,45.5,371.47,2388.19,8112.47,8.6591,0.03,370,2319,100.0,28.54,17.1095,3,1
452,3,66,10.0045,0.2509,20.0,489.05,604.7,1502.73,1315.87,10.52,15.49,394.26,2319.0,8765.42,1.26,45.48,371.29,2388.15,8106.41,8.6929,0.03,370,2319,100.0,28.5,17.1349,3,1
464,3,78,10.006,0.25,20.0,489.05,605.13,1503.14,1314.23,10.52,15.49,394.31,2319.04,8752.32,1.26,45.64,371.4,2388.2,8117.85,8.6627,0.03,371,2319,100.0,28.6,17.0722,3,1
473,3,87,10.0057,0.25,20.0,489.05,605.16,1503.55,1312.29,10.52,15.5,393.75,2319.04,8763.78,1.26,45.58,371.34,2388.25,8116.15,8.6661,0.03,370,2319,100.0,28.42,17.0586,3,1
474,3,88,10.006,0.2519,20.0,489.05,604.99,1502.16,1308.63,10.52,15.5,393.73,2319.0,8763.33,1.26,45.52,371.2,2388.28,8109.17,8.6626,0.03,370,2319,100.0,28.45,17.0242,3,1
479,3,93,10.005,0.25,20.0,489.05,605.02,1510.41,1316.83,10.52,15.5,394.2,2319.05,8764.29,1.26,45.59,370.81,2388.23,8107.91,8.6829,0.03,371,2319,100.0,28.6,17.1036,3,1
490,3,104,10.0025,0.25,20.0,489.05,605.64,1501.65,1318.18,10.52,15.5,393.74,2319.1,8763.62,1.26,45.57,371.19,2388.2,8108.35,8.7023,0.03,370,2319,100.0,28.16,17.0278,4,1
494,3,108,10.0032,0.2503,20.0,489.05,605.65,1507.46,1322.6,10.52,15.5,394.1,2319.04,8760.33,1.26,45.86,371.41,2388.23,8112.71,8.6778,0.03,370,2319,100.0,28.48,17.0723,4,1
495,3,109,9.9985,0.2513,20.0,489.05,605.93,1504.8,1316.54,10.52,15.5,393.76,2319.05,8761.25,1.26,45.75,370.86,2388.32,8112.64,8.6673,0.03,369,2319,100.0,28.42,17.0321,4,1
527,3,141,10.0068,0.2516,20.0,489.05,606.06,1507.94,1329.26,10.52,15.5,392.99,2319.19,8754.68,1.26,46.11,370.05,2388.35,8104.17,8.7366,0.03,371,2319,100.0,28.34,17.0359,4,1
533,3,147,9.999,0.2503,20.0,489.05,605.99,1519.22,1328.36,10.52,15.5,393.37,2319.18,8751.98,1.26,46.04,369.89,2388.42,8105.74,8.7581,0.03,373,2319,100.0,28.28,17.0641,4,1
535,3,149,9.9999,0.25,20.0,489.05,605.85,1514.51,1331.53,10.52,15.5,392.53,2319.16,8754.75,1.26,45.96,369.97,2388.44,8098.8,8.6841,0.03,373,2319,100.0,28.26,17.0106,4,1
538,4,2,10.0029,0.2518,20.0,489.05,604.34,1502.99,1309.62,10.52,15.49,395.0,2318.92,8774.32,1.26,45.17,371.61,2388.07,8124.93,8.6194,0.03,369,2319,100.0,28.68,17.1913,2,1
539,4,3,10.0019,0.25,20.0,489.05,604.74,1498.37,1302.07,10.52,15.49,394.79,2318.91,8769.88,1.26,45.35,372.07,2388.04,8124.82,8.6289,0.03,369,2319,100.0,28.53,17.0733,2,1
541,4,5,10.0042,0.25,20.0,489.05,604.44,1492.26,1300.77,10.52,15.49,394.93,2318.91,8775.49,1.26,45.37,371.94,2388.09,8120.45,8.6162,0.03,369,2319,100.0,28.68,17.2438,2,1
543,4,7,10.001,0.2509,20.0,489.05,604.48,1501.5,1300.69,10.52,15.49,394.71,2318.97,8775.83,1.26,45.19,372.21,2388.09,8129.26,8.6258,0.03,367,2319,100.0,28.68,17.1376,2,1
547,4,11,9.998,0.25,20.0,489.05,604.99,1499.5,1305.08,10.52,15.49,394.17,2318.9,8773.18,1.26,45.24,371.81,2388.1,8124.89,8.6769,0.03,367,2319,100.0,28.53,17.1418,3,1
549,4,13,9.9986,0.25,20.0,489.05,604.53,1501.53,1310.84,10.52,15.49,394.69,2318.94,8773.99,1.26,45.37,371.89,2388.16,8130.27,8.6351,0.03,369,2319,100.0,28.74,17.1687,3,1
552,4,16,10.0014,0.2517,20.0,489.05,604.13,1501.26,1303.29,10.52,15.49,395.02,2318.87,8769.94,1.26,45.44,371.47,2388.11,8128.03,8.6221,0.03,368,2319,100.0,28.63,17.1347,3,1
554,4,18,10.0058,0.25,20.0,489.05,604.11,1497.59,1308.79,10.52,15.49,394.77,2318.87,8771.68,1.26,45.41,371.25,2388.11,8122.51,8.6035,0.03,369,2319,100.0,28.44,17.1901,3,1
561,4,25,10.0067,0.25,20.0,489.05,604.13,1503.55,1308.15,10.52,15.49,394.87,2318.93,8772.85,1.26,45.2,371.99,2388.09,8123.58,8.6889,0.03,370,2319,100.0,28.89,17.1166,3,1
568,4,32,9.9981,0.25,20.0,489.05,604.83,1500.13,1299.59,10.52,15.49,394.51,2318.9,8782.69,1.26,45.14,371.71,2388.11,8131.64,8.641,0.03,369,2319,100.0,28.38,17.1639,3,1
575,4,39,10.0025,0.2511,20.0,489.05,604.39,1491.62,1306.59,10.52,15.49,394.78,2318.91,8771.46,1.26,45.25,371.95,2388.12,8126.83,8.6263,0.03,369,2319,100.0,28.57,17.1709,3,1
584,4,48,10.0011,0.25,20.0,489.05,605.0,1494.1,1308.53,10.52,15.49,394.95,2318.88,8766.17,1.26,45.31,372.29,2388.09,8129.03,8.6312,0.03,369,2319,100.0,28.58,17.1205,3,1
595,4,59,10.0071,0.2516,20.0,489.05,604.82,1496.71,1308.93,10.52,15.49,394.07,2318.83,8776.58,1.26,45.34,371.75,2388.11,8125.99,8.6638,0.03,369,2319,100.0,28.56,17.2375,3,1
598,4,62,9.9984,0.2507,20.0,489.05,605.31,1494.3,1304.75,10.52,15.49,394.75,2318.88,8769.62,1.26,45.45,371.86,2388.12,8123.65,8.6457,0.03,370,2319,100.0,28.66,17.1983,3,1
600,4,64,9.999,0.25,20.0,489.05,604.79,1499.99,1314.69,10.52,15.49,394.74,2318.9,8779.44,1.26,45.44,371.84,2388.17,8131.16,8.6712,0.03,370,2319,100.0,28.6,17.1819,3,1
603,4,67,10.0071,0.2518,20.0,489.05,604.93,1495.65,1309.95,10.52,15.49,394.12,2318.93,8776.5,1.26,45.45,371.24,2388.2,8128.82,8.6778,0.03,368,2319,100.0,28.58,17.2098,3,1
605,4,69,10.0075,0.25,20.0,489.05,605.02,1494.49,1311.03,10.52,15.49,394.79,2318.97,8777.31,1.26,45.4,371.29,2388.08,8124.87,8.6817,0.03,370,2319,100.0,28.4,17.0561,3,1
607,4,71,10.0045,0.25,20.0,489.05,604.56,1498.97,1312.72,10.52,15.49,394.28,2318.88,8783.94,1.26,45.31,371.41,2388.13,8126.93,8.6283,0.03,368,2319,100.0,28.53,17.2208,3,1
616,4,80,10.0001,0.251,20.0,489.05,604.79,1497.44,1305.09,10.52,15.49,394.49,2318.91,8773.14,1.26,45.37,371.63,2388.14,8132.07,8.6703,0.03,370,2319,100.0,28.68,17.1432,3,1
617,4,81,9.9987,0.2513,20.0,489.05,604.34,1497.0,1308.95,10.52,15.49,394.76,2318.86,8776.19,1.26,45.42,371.32,2388.1,8126.64,8.6782,0.03,369,2319,100.0,28.46,17.1922,3,1
621,4,85,10.0007,0.2515,20.0,489.05,604.79,1500.71,1313.29,10.52,15.49,393.9,2318.91,8776.18,1.26,45.35,371.54,2388.08,8126.87,8.6594,0.03,369,2319,100.0,28.58,17.1468,3,1
624,4,88,10.0039,0.2505,20.0,489.05,605.01,1499.1,1307.74,10.52,15.49,394.6,2318.99,8769.2,1.26,45.48,371.89,2388.17,8128.18,8.6363,0.03,370,2319,100.0,28.41,17.0818,3,1
628,4,92,10.0048,0.2513,20.0,489.05,604.91,1496.88,1304.65,10.52,15.49,394.06,2318.94,8786.26,1.26,45.35,371.35,2388.13,8127.88,8.6463,0.03,370,2319,100.0,28.62,17.1,3,1
632,4,96,10.0013,0.2504,20.0,489.05,604.79,1494.25,1309.34,10.52,15.49,394.54,2318.96,8781.96,1.26,45.49,371.65,2388.22,8126.54,8.6745,0.03,369,2319,100.0,28.4,17.0596,3,1
637,4,101,10.0012,0.25,20.0,489.05,604.68,1511.71,1311.47,10.52,15.49,394.36,2318.94,8779.63,1.26,45.41,371.72,2388.14,8133.02,8.6371,0.03,368,2319,100.0,28.65,17.1717,3,1
638,4,102,10.0051,0.2504,20.0,489.05,604.75,1493.7,1304.59,10.52,15.49,394.89,2318.96,8785.46,1.26,45.55,371.49,2388.16,8137.54,8.6759,0.03,368,2319,100.0,28.27,17.0952,3,1
643,4,107,10.0037,0.2515,20.0,489.05,605.18,1506.79,1312.54,10.52,15.49,393.92,2318.98,8779.14,1.26,45.52,371.19,2388.18,8129.31,8.649,0.03,371,2319,100.0,28.51,17.0733,3,1
644,4,108,10.0035,0.2508,20.0,489.05,605.07,1513.01,1313.9,10.52,15.49,394.36,2318.96,8781.01,1.26,45.47,371.22,2388.14,8130.73,8.6589,0.03,369,2319,100.0,28.56,17.1132,3,1
653,4,117,9.9991,0.25,20.0,489.05,604.97,1501.2,1315.62,10.52,15.49,394.38,2318.96,8786.23,1.26,45.71,371.32,2388.15,8138.3,8.6505,0.03,371,2319,100.0,28.47,17.045,4,1
665,4,129,10.0056,0.2516,20.0,489.05,605.54,1513.39,1311.45,10.52,15.5,394.08,2318.98,8784.15,1.26,45.7,371.28,2388.23,8141.59,8.7137,0.03,372,2319,100.0,28.42,17.0488,4,1
669,4,133,10.0036,0.25,20.0,489.05,605.59,1506.96,1325.59,10.52,15.5,393.57,2319.03,8792.37,1.26,45.57,370.66,2388.26,8139.41,8.6983,0.03,371,2319,100.0,28.21,17.2275,4,1
676,4,140,10.0029,0.2513,20.0,489.05,605.32,1505.94,1320.68,10.52,15.5,393.5,2319.03,8799.6,1.26,45.96,370.92,2388.26,8147.38,8.7193,0.03,371,2319,100.0,28.37,17.0036,4,1
682,4,146,10.005,0.25,20.0,489.05,605.85,1503.1,1327.91,10.52,15.5,393.03,2319.06,8804.62,1.26,45.99,371.25,2388.3,8146.36,8.7246,0.03,373,2319,100.0,28.33,16.994,4,1
684,4,148,10.0026,0.25,20.0,489.05,605.68,1504.07,1329.03,10.52,15.5,393.21,2319.14,8809.12,1.26,46.11,370.26,2388.26,8148.11,8.7217,0.03,373,2319,100.0,28.41,17.0567,4,1
690,4,154,10.0012,0.2513,20.0,489.05,605.54,1518.83,1326.19,10.52,15.5,393.55,2319.1,8819.77,1.26,46.01,370.37,2388.34,8162.85,8.6812,0.03,373,2319,100.0,28.09,17.0778,4,1
703,5,8,10.0077,0.25,20.0,489.05,604.88,1499.99,1302.21,10.52,15.49,394.77,2318.88,8773.01,1.26,45.3,371.69,2388.11,8128.75,8.634,0.03,368,2319,100.0,28.68,17.0616,1,1
704,5,9,10.0058,0.2509,20.0,489.05,604.81,1500.42,1297.87,10.52,15.49,395.55,2318.89,8774.13,1.26,45.25,372.1,2388.14,8125.66,8.6075,0.03,368,2319,100.0,28.67,17.1446,1,1
709,5,14,10.0055,0.2515,20.0,489.05,605.26,1497.32,1299.36,10.52,15.49,394.27,2318.88,8771.06,1.26,45.26,371.66,2388.15,8122.67,8.6074,0.03,368,2319,100.0,28.67,17.1569,1,1
712,5,17,10.0036,0.2514,20.0,489.05,604.15,1500.62,1307.59,10.52,15.49,395.1,2318.87,8770.86,1.26,45.15,372.1,2388.1,8120.92,8.6116,0.03,368,2319,100.0,28.57,17.1824,1,1
733,5,38,10.0029,0.25,20.0,489.05,604.61,1495.08,1305.01,10.52,15.49,394.64,2318.84,8770.59,1.26,45.25,371.61,2388.07,8124.88,8.65,0.03,369,2319,100.0,28.65,17.2208,1,1
735,5,40,10.0062,0.25,20.0,489.05,604.62,1494.77,1303.45,10.52,15.49,394.89,2318.88,8772.52,1.26,45.06,371.16,2388.08,8128.8,8.6703,0.03,370,2319,100.0,28.51,17.1478,1,1
737,5,42,10.0046,0.25,20.0,489.05,604.57,1500.25,1306.66,10.52,15.49,394.03,2318.87,8774.25,1.26,45.16,371.88,2388.09,8124.05,8.6459,0.03,366,2319,100.0,28.71,17.1731,1,1
747,5,52,10.0041,0.25,20.0,489.05,604.62,1496.93,1302.61,10.52,15.49,394.56,2318.9,8770.62,1.26,45.27,371.66,2388.08,8126.27,8.6602,0.03,368,2319,100.0,28.64,17.1446,1,1
748,5,53,10.0055,0.2518,20.0,489.05,604.75,1495.91,1309.16,10.52,15.49,394.14,2318.91,8769.15,1.26,45.09,371.61,2388.13,8121.8,8.6287,0.03,369,2319,100.0,28.48,17.1617,1,1
752,5,57,10.0009,0.25,20.0,489.05,604.49,1496.06,1303.25,10.52,15.49,395.56,2318.87,8769.55,1.26,45.38,371.94,2388.07,8126.79,8.626,0.03,369,2319,100.0,28.55,17.2124,1,1
753,5,58,10.0013,0.25,20.0,489.05,605.11,1503.11,1304.1,10.52,15.49,394.68,2318.9,8768.58,1.26,45.39,372.02,2388.06,8124.88,8.6543,0.03,369,2319,100.0,28.51,17.1011,1,1
754,5,59,9.9988,0.25,20.0,489.05,604.21,1494.49,1305.46,10.52,15.49,394.43,2318.84,8774.26,1.26,45.34,371.98,2388.01,8118.74,8.6481,0.03,369,2319,100.0,28.46,17.1427,1,1
757,5,62,10.0051,0.2507,20.0,489.05,604.44,1502.17,1302.2,10.52,15.49,394.55,2318.94,8772.18,1.26,45.43,372.18,2388.14,8124.74,8.6166,0.03,370,2319,100.0,28.72,17.0972,1,1
763,5,68,10.006,0.2519,20.0,489.05,604.44,1505.65,1307.28,10.52,15.49,394.88,2318.83,8769.44,1.26,45.51,372.04,2388.13,8128.44,8.6268,0.03,370,2319,100.0,28.8,17.1785,1,1
