,Sensor_0,Sensor_4,Sensor_5,Sensor_7,Sensor_9,Sensor_15,Sensor_16,Sensor_17,Sensor_18
39,462.54,7.05,9.03,1915.26,0.94,0.02,306,1915,84.93
40,449.44,5.48,8.0,2222.89,1.02,0.02,334,2223,100.0
41,445.0,3.91,5.71,2211.83,1.02,0.02,331,2212,100.0
42,489.05,10.52,15.49,2318.92,1.26,0.03,371,2319,100.0
43,445.0,3.91,5.72,2211.79,1.02,0.02,331,2212,100.0
44,491.19,9.35,13.65,2323.91,1.08,0.02,364,2324,100.0
45,489.05,10.52,15.5,2318.89,1.26,0.03,368,2319,100.0
46,462.54,7.05,9.03,1915.26,0.94,0.02,307,1915,84.93
47,462.54,7.05,9.03,1915.28,0.94,0.02,308,1915,84.93
48,489.05,10.52,15.49,2318.92,1.26,0.03,370,2319,100.0
49,445.0,3.91,5.71,2211.8,1.02,0.02,330,2212,100.0
50,462.54,7.05,9.03,1915.25,0.94,0.02,308,1915,84.93
51,445.0,3.91,5.72,2211.87,1.02,0.02,332,2212,100.0
52,462.54,7.05,9.02,1915.28,0.94,0.02,308,1915,84.93
53,449.44,5.48,8.0,2222.85,1.02,0.02,334,2223,100.0
54,445.0,3.91,5.71,2211.8,1.02,0.02,329,2212,100.0
55,445.0,3.91,5.71,2211.81,1.02,0.02,331,2212,100.0
56,489.05,10.52,15.49,2318.93,1.26,0.03,371,2319,100.0
57,449.44,5.48,8.0,2222.89,1.02,0.02,334,2223,100.0
58,489.05,10.52,15.49,2319.0,1.26,0.03,369,2319,100.0
59,462.54,7.05,9.03,1915.27,0.94,0.02,306,1915,84.93
60,462.54,7.05,9.03,1915.32,0.94,0.02,307,1915,84.93
61,518.67,14.62,21.61,2388.05,1.3,0.03,393,2388,100.0
62,445.0,3.91,5.71,2211.85,1.02,0.02,331,2212,100.0
63,462.54,7.05,9.02,1915.25,0.94,0.02,307,1915,84.93
64,489.05,10.52,15.49,2318.97,1.26,0.03,368,2319,100.0
65,445.0,3.91,5.72,2211.78,1.02,0.02,331,2212,100.0
66,462.54,7.05,9.03,1915.25,0.94,0.02,307,1915,84.93
67,445.0,3.91,5.72,2211.88,1.02,0.02,330,2212,100.0
68,445.0,3.91,5.71,2211.82,1.02,0.02,330,2212,100.0
69,462.54,7.05,9.02,1915.25,0.94,0.02,305,1915,84.93
70,449.44,5.48,8.0,2222.81,1.02,0.02,333,2223,100.0
71,445.0,3.91,5.71,2211.82,1.02,0.02,331,2212,100.0
72,445.0,3.91,5.71,2211.8,1.02,0.02,329,2212,100.0
73,449.44,5.48,8.0,2222.87,1.02,0.02,335,2223,100.0
74,491.19,9.35,13.66,2323.92,1.08,0.02,366,2324,100.0
75,491.19,9.35,13.66,2324.01,1.08,0.02,365,2324,100.0
76,449.44,5.48,8.0,2222.82,1.02,0.02,334,2223,100.0
77,449.44,5.48,8.0,2222.85,1.02,0.02,334,2223,100.0
78,445.0,3.91,5.72,2211.82,1.02,0.02,330,2212,100.0
79,445.0,3.91,5.72,2211.82,1.02,0.02,331,2212,100.0
80,449.44,5.48,8.0,2222.88,1.02,0.02,333,2223,100.0
81,449.44,5.48,8.0,2222.84,1.02,0.02,334,2223,100.0
82,462.54,7.05,9.03,1915.24,0.94,0.02,306,1915,84.93
83,445.0,3.91,5.71,2211.81,1.02,0.02,331,2212,100.0
84,449.44,5.48,8.0,2222.87,1.02,0.02,334,2223,100.0
85,449.44,5.48,8.0,2222.85,1.02,0.02,334,2223,100.0
86,462.54,7.05,9.03,1915.3,0.94,0.02,306,1915,84.93
87,445.0,3.91,5.72,2211.77,1.02,0.02,331,2212,100.0
88,489.05,10.52,15.49,2318.93,1.26,0.03,372,2319,100.0
89,518.67,14.62,21.61,2388.11,1.3,0.03,393,2388,100.0
90,445.0,3.91,5.72,2211.78,1.02,0.02,332,2212,100.0
91,462.54,7.05,9.02,1915.29,0.94,0.02,306,1915,84.93
92,491.19,9.35,13.66,2323.95,1.08,0.03,364,2324,100.0
93,491.19,9.35,13.65,2323.99,1.08,0.02,366,2324,100.0
94,462.54,7.05,9.03,1915.29,0.94,0.02,307,1915,84.93
95,445.0,3.91,5.72,2211.83,1.02,0.02,330,2212,100.0
96,518.67,14.62,21.61,2388.12,1.3,0.03,392,2388,100.0
97,449.44,5.48,8.0,2222.88,1.02,0.02,334,2223,100.0
98,518.67,14.62,21.61,2388.11,1.3,0.03,394,2388,100.0
99,491.19,9.35,13.66,2323.95,1.08,0.02,366,2324,100.0
100,489.05,10.52,15.49,2318.93,1.26,0.03,369,2319,100.0
101,489.05,10.52,15.49,2318.98,1.26,0.03,370,2319,100.0
102,489.05,10.52,15.49,2318.95,1.26,0.03,371,2319,100.0
103,445.0,3.91,5.72,2211.83,1.02,0.02,330,2212,100.0
104,462.54,7.05,9.02,1915.27,0.94,0.02,307,1915,84.93
105,518.67,14.62,21.61,2388.05,1.3,0.03,394,2388,100.0
106,445.0,3.91,5.72,2211.84,1.02,0.02,330,2212,100.0
107,445.0,3.91,5.71,2211.82,1.02,0.02,330,2212,100.0
108,491.19,9.35,13.66,2323.95,1.08,0.02,365,2324,100.0
109,518.67,14.62,21.61,2388.12,1.3,0.03,392,2388,100.0
110,518.67,14.62,21.61,2388.04,1.3,0.03,392,2388,100.0
111,445.0,3.91,5.72,2211.84,1.02,0.02,331,2212,100.0
112,491.19,9.35,13.66,2323.91,1.08,0.02,366,2324,100.0
113,462.54,7.05,9.02,1915.34,0.94,0.02,307,1915,84.93
114,462.54,7.05,9.03,1915.26,0.94,0.02,308,1915,84.93
115,462.54,7.05,9.03,1915.27,0.94,0.02,307,1915,84.93
116,445.0,3.91,5.71,2211.82,1.02,0.02,333,2212,100.0
117,489.05,10.52,15.5,2319.01,1.26,0.03,370,2319,100.0
118,491.19,9.35,13.66,2324.0,1.07,0.02,366,2324,100.0
119,445.0,3.91,5.71,2211.88,1.02,0.02,331,2212,100.0
120,462.54,7.05,9.03,1915.26,0.94,0.02,307,1915,84.93
121,489.05,10.52,15.49,2319.02,1.26,0.03,370,2319,100.0
122,518.67,14.62,21.61,2388.13,1.3,0.03,391,2388,100.0
123,462.54,7.05,9.03,1915.29,0.94,0.02,307,1915,84.93
124,462.54,7.05,9.02,1915.26,0.94,0.02,307,1915,84.93
125,491.19,9.35,13.66,2323.99,1.08,0.02,365,2324,100.0
126,445.0,3.91,5.72,2211.8,1.02,0.02,331,2212,100.0
127,449.44,5.48,8.0,2222.91,1.02,0.02,334,2223,100.0
128,489.05,10.52,15.49,2319.02,1.26,0.03,370,2319,100.0
129,518.67,14.62,21.61,2388.15,1.3,0.03,393,2388,100.0
130,449.44,5.48,8.0,2222.91,1.02,0.02,335,2223,100.0
131,491.19,9.35,13.66,2324.0,1.08,0.02,364,2324,100.0
132,449.44,5.48,8.0,2222.83,1.02,0.02,334,2223,100.0
133,489.05,10.52,15.5,2318.99,1.26,0.03,370,2319,100.0
134,449.44,5.48,8.0,2222.94,1.02,0.02,334,2223,100.0
135,489.05,10.52,15.49,2318.96,1.26,0.03,371,2319,100.0
136,518.67,14.62,21.61,2388.14,1.3,0.03,393,2388,100.0
137,518.67,14.62,21.61,2388.11,1.3,0.03,393,2388,100.0
138,445.0,3.91,5.72,2211.83,1.02,0.02,332,2212,100.0
139,491.19,9.35,13.66,2324.08,1.08,0.02,365,2324,100.0
140,449.44,5.48,8.0,2222.89,1.02,0.02,334,2223,100.0
141,518.67,14.62,21.61,2388.15,1.3,0.03,392,2388,100.0
142,445.0,3.91,5.72,2211.85,1.02,0.02,332,2212,100.0
143,462.54,7.05,9.03,1915.32,0.94,0.02,306,1915,84.93
144,489.05,10.52,15.49,2318.97,1.26,0.03,369,2319,100.0
145,449.44,5.48,8.0,2222.93,1.02,0.02,335,2223,100.0
146,491.19,9.35,13.66,2324.06,1.08,0.03,367,2324,100.0
147,445.0,3.91,5.71,2211.8,1.02,0.02,331,2212,100.0
148,518.67,14.62,21.61,2388.13,1.3,0.03,390,2388,100.0
149,462.54,7.05,9.02,1915.34,0.94,0.02,308,1915,84.93
150,462.54,7.05,9.03,1915.35,0.94,0.02,308,1915,84.93
151,445.0,3.91,5.72,2211.8,1.02,0.02,332,2212,100.0
152,449.44,5.48,8.0,2222.93,1.02,0.02,334,2223,100.0
153,518.67,14.62,21.61,2388.13,1.3,0.03,394,2388,100.0
154,449.44,5.48,8.0,2222.96,1.02,0.02,336,2223,100.0
155,491.19,9.35,13.66,2324.02,1.07,0.02,366,2324,100.0
156,462.54,7.05,9.03,1915.3,0.94,0.02,308,1915,84.93
157,462.54,7.05,9.02,1915.3,0.94,0.02,308,1915,84.93
158,462.54,7.05,9.03,1915.3,0.94,0.02,308,1915,84.93
159,462.54,7.05,9.03,1915.29,0.94,0.02,308,1915,84.93
160,462.54,7.05,9.03,1915.26,0.94,0.02,307,1915,84.93
161,449.44,5.48,8.0,2222.87,1.02,0.02,334,2223,100.0
162,491.19,9.35,13.66,2324.07,1.07,0.03,365,2324,100.0
163,445.0,3.91,5.72,2211.79,1.02,0.02,330,2212,100.0
164,445.0,3.91,5.72,2211.89,1.02,0.02,330,2212,100.0
165,489.05,10.52,15.5,2319.03,1.26,0.03,371,2319,100.0
166,445.0,3.91,5.72,2211.8,1.02,0.02,332,2212,100.0
167,462.54,7.05,9.03,1915.29,0.94,0.02,309,1915,84.93
168,445.0,3.91,5.72,2211.84,1.02,0.02,332,2212,100.0
169,491.19,9.35,13.66,2324.02,1.07,0.02,368,2324,100.0
170,449.44,5.48,8.0,2222.98,1.02,0.02,335,2223,100.0
171,449.44,5.48,8.0,2222.95,1.02,0.02,335,2223,100.0
172,491.19,9.35,13.66,2324.0,1.07,0.02,367,2324,100.0
173,462.54,7.05,9.03,1915.28,0.94,0.02,308,1915,84.93
174,518.67,14.62,21.61,2388.14,1.3,0.03,394,2388,100.0
175,445.0,3.91,5.72,2211.83,1.02,0.02,331,2212,100.0
176,489.05,10.52,15.5,2319.06,1.26,0.03,371,2319,100.0
177,518.67,14.62,21.61,2388.16,1.3,0.03,394,2388,100.0
178,489.05,10.52,15.5,2319.06,1.26,0.03,370,2319,100.0
179,445.0,3.91,5.72,2211.81,1.02,0.02,332,2212,100.0
180,445.0,3.91,5.72,2211.8,1.02,0.02,332,2212,100.0
181,445.0,3.91,5.72,2211.85,1.02,0.02,331,2212,100.0
182,445.0,3.91,5.72,2211.88,1.02,0.02,332,2212,100.0
183,445.0,3.91,5.72,2211.8,1.02,0.02,335,2212,100.0
184,491.19,9.35,13.66,2324.09,1.08,0.03,368,2324,100.0
185,491.19,9.35,13.66,2324.08,1.07,0.03,366,2324,100.0
186,445.0,3.91,5.72,2211.81,1.02,0.02,330,2212,100.0
187,462.54,7.05,9.03,1915.38,0.94,0.02,309,1915,84.93
188,489.05,10.52,15.5,2319.05,1.26,0.03,370,2319,100.0
189,445.0,3.91,5.72,2211.83,1.02,0.02,332,2212,100.0
190,445.0,3.91,5.71,2211.86,1.02,0.02,333,2212,100.0
191,449.44,5.48,8.0,2223.04,1.02,0.02,335,2223,100.0
192,445.0,3.91,5.72,2211.86,1.02,0.02,331,2212,100.0
193,489.05,10.52,15.5,2319.15,1.26,0.03,372,2319,100.0
194,449.44,5.48,8.0,2222.93,1.02,0.02,335,2223,100.0
195,445.0,3.91,5.72,2211.91,1.02,0.02,333,2212,100.0
196,489.05,10.52,15.5,2319.12,1.26,0.03,370,2319,100.0
197,491.19,9.35,13.66,2324.09,1.07,0.03,368,2324,100.0
198,445.0,3.91,5.71,2211.76,1.02,0.02,333,2212,100.0
199,489.05,10.52,15.5,2319.08,1.26,0.03,371,2319,100.0
200,462.54,7.05,9.03,1915.34,0.94,0.02,309,1915,84.93
201,491.19,9.35,13.66,2324.15,1.07,0.03,367,2324,100.0
202,462.54,7.05,9.03,1915.33,0.94,0.02,308,1915,84.93
203,489.05,10.52,15.5,2319.13,1.26,0.03,370,2319,100.0
204,462.54,7.05,9.03,1915.36,0.94,0.02,308,1915,84.93
205,449.44,5.48,8.0,2223.0,1.02,0.02,336,2223,100.0
206,449.44,5.48,8.0,2223.04,1.02,0.02,336,2223,100.0
207,462.54,7.05,9.03,1915.38,0.94,0.02,310,1915,84.93
208,489.05,10.52,15.5,2319.11,1.26,0.03,371,2319,100.0
209,449.44,5.48,8.0,2223.04,1.02,0.02,336,2223,100.0
210,518.67,14.62,21.61,2388.23,1.3,0.03,395,2388,100.0
211,449.44,5.48,8.0,2223.04,1.02,0.02,337,2223,100.0
212,445.0,3.91,5.71,2211.87,1.02,0.02,332,2212,100.0
213,462.54,7.05,9.03,1915.35,0.94,0.02,310,1915,84.93
214,462.54,7.05,9.03,1915.37,0.94,0.02,309,1915,84.93
215,491.19,9.35,13.66,2324.15,1.08,0.03,369,2324,100.0
216,449.44,5.48,8.0,2223.1,1.02,0.02,337,2223,100.0
217,445.0,3.91,5.72,2211.78,1.02,0.02,333,2212,100.0
218,449.44,5.48,8.0,2223.1,1.02,0.02,337,2223,100.0
219,449.44,5.48,8.0,2223.01,1.02,0.02,338,2223,100.0
220,518.67,14.62,21.61,2388.22,1.3,0.03,394,2388,100.0
221,491.19,9.35,13.66,2324.18,1.07,0.03,369,2324,100.0
222,449.44,5.48,8.01,2223.01,1.02,0.02,337,2223,100.0
223,518.67,14.62,21.61,2387.96,1.3,0.03,392,2388,100.0
224,449.44,5.48,8.0,2223.03,1.02,0.02,334,2223,100.0
225,445.0,3.91,5.71,2212.03,1.02,0.02,330,2212,100.0
226,445.0,3.91,5.71,2211.96,1.02,0.02,329,2212,100.0
227,491.19,9.35,13.65,2323.86,1.08,0.02,364,2324,100.0
228,449.44,5.48,8.0,2222.91,1.02,0.02,332,2223,100.0
229,462.54,7.05,9.03,1915.36,0.94,0.02,306,1915,84.93
230,489.05,10.52,15.49,2318.8,1.26,0.03,369,2319,100.0
231,449.44,5.48,8.0,2222.95,1.02,0.02,334,2223,100.0
232,449.44,5.48,8.0,2222.96,1.02,0.02,332,2223,100.0
233,489.05,10.52,15.49,2318.79,1.26,0.03,367,2319,100.0
234,462.54,7.05,9.02,1915.35,0.94,0.02,305,1915,84.93
235,445.0,3.91,5.72,2211.95,1.02,0.02,328,2212,100.0
236,449.44,5.48,8.0,2222.93,1.02,0.02,333,2223,100.0
237,489.05,10.52,15.49,2318.83,1.26,0.03,368,2319,100.0
238,489.05,10.52,15.49,2318.81,1.26,0.03,368,2319,100.0
239,491.19,9.35,13.65,2323.89,1.08,0.02,364,2324,100.0
240,491.19,9.35,13.65,2323.9,1.08,0.02,361,2324,100.0
241,489.05,10.52,15.49,2318.83,1.26,0.03,368,2319,100.0
242,489.05,10.52,15.49,2318.84,1.26,0.03,366,2319,100.0
243,445.0,3.91,5.72,2211.93,1.02,0.02,328,2212,100.0
244,489.05,10.52,15.49,2318.82,1.26,0.03,367,2319,100.0
245,445.0,3.91,5.72,2211.91,1.02,0.02,330,2212,100.0
246,518.67,14.62,21.61,2388.01,1.3,0.03,390,2388,100.0
247,489.05,10.52,15.49,2318.86,1.26,0.03,367,2319,100.0
248,445.0,3.91,5.71,2211.99,1.02,0.02,330,2212,100.0
249,462.54,7.05,9.03,1915.33,0.94,0.02,304,1915,84.93
250,462.54,7.05,9.02,1915.38,0.94,0.02,306,1915,84.93
251,445.0,3.91,5.71,2211.89,1.02,0.02,329,2212,100.0
252,491.19,9.35,13.65,2323.86,1.08,0.02,364,2324,100.0
253,445.0,3.91,5.71,2211.92,1.02,0.02,329,2212,100.0
254,518.67,14.62,21.61,2387.99,1.3,0.03,390,2388,100.0
255,462.54,7.05,9.02,1915.37,0.94,0.02,306,1915,84.93
256,445.0,3.91,5.72,2212.01,1.02,0.02,329,2212,100.0
257,518.67,14.62,21.61,2388.01,1.3,0.03,393,2388,100.0
258,489.05,10.52,15.49,2318.88,1.26,0.03,367,2319,100.0
259,449.44,5.48,8.0,2222.98,1.02,0.02,333,2223,100.0
260,518.67,14.62,21.61,2388.02,1.3,0.03,393,2388,100.0
261,491.19,9.35,13.65,2323.92,1.08,0.02,363,2324,100.0
262,489.05,10.52,15.49,2318.82,1.26,0.03,367,2319,100.0
263,449.44,5.48,8.0,2222.99,1.02,0.02,333,2223,100.0
264,462.54,7.05,9.03,1915.39,0.94,0.02,307,1915,84.93
265,445.0,3.91,5.71,2211.97,1.02,0.02,330,2212,100.0
266,491.19,9.35,13.66,2323.92,1.08,0.02,365,2324,100.0
267,462.54,7.05,9.02,1915.26,0.94,0.02,306,1915,84.93
268,449.44,5.48,8.0,2222.94,1.02,0.02,336,2223,100.0
269,462.54,7.05,9.02,1915.42,0.94,0.02,305,1915,84.93
270,462.54,7.05,9.02,1915.39,0.94,0.02,306,1915,84.93
271,462.54,7.05,9.02,1915.34,0.94,0.02,306,1915,84.93
272,489.05,10.52,15.49,2318.85,1.26,0.03,367,2319,100.0
273,491.19,9.35,13.65,2323.89,1.08,0.02,363,2324,100.0
274,518.67,14.62,21.61,2388.04,1.3,0.03,392,2388,100.0
275,449.44,5.48,8.0,2222.99,1.02,0.02,333,2223,100.0
276,518.67,14.62,21.61,2388.04,1.3,0.03,393,2388,100.0
277,445.0,3.91,5.71,2211.98,1.02,0.02,330,2212,100.0
278,491.19,9.35,13.65,2323.87,1.08,0.02,365,2324,100.0
279,462.54,7.05,9.02,1915.4,0.94,0.02,307,1915,84.93
280,518.67,14.62,21.61,2388.02,1.3,0.03,394,2388,100.0
281,445.0,3.91,5.71,2211.91,1.02,0.02,330,2212,100.0
282,445.0,3.91,5.71,2211.95,1.02,0.02,330,2212,100.0
283,518.67,14.62,21.6,2388.0,1.3,0.03,392,2388,100.0
284,462.54,7.05,9.03,1915.32,0.94,0.02,306,1915,84.93
285,462.54,7.05,9.02,1915.35,0.94,0.02,306,1915,84.93
286,518.67,14.62,21.61,2388.01,1.3,0.03,392,2388,100.0
287,445.0,3.91,5.71,2212.04,1.02,0.02,329,2212,100.0
288,449.44,5.48,8.0,2222.96,1.02,0.02,333,2223,100.0
289,445.0,3.91,5.71,2211.93,1.02,0.02,329,2212,100.0
290,462.54,7.05,9.03,1915.34,0.94,0.02,306,1915,84.93
291,518.67,14.62,21.61,2388.07,1.3,0.03,392,2388,100.0
292,445.0,3.91,5.72,2211.94,1.02,0.02,332,2212,100.0
293,518.67,14.62,21.61,2388.05,1.3,0.03,393,2388,100.0
294,449.44,5.48,8.0,2222.93,1.03,0.02,333,2223,100.0
295,518.67,14.62,21.61,2388.04,1.3,0.03,393,2388,100.0
296,491.19,9.35,13.65,2323.92,1.08,0.02,364,2324,100.0
297,445.0,3.91,5.71,2211.92,1.02,0.02,330,2212,100.0
298,489.05,10.52,15.49,2318.82,1.26,0.03,370,2319,100.0
299,445.0,3.91,5.72,2211.9,1.02,0.02,329,2212,100.0
300,518.67,14.62,21.61,2388.06,1.3,0.03,392,2388,100.0
301,445.0,3.91,5.72,2211.89,1.02,0.02,330,2212,100.0
302,491.19,9.35,13.65,2323.94,1.08,0.02,363,2324,100.0
303,445.0,3.91,5.71,2211.94,1.02,0.02,330,2212,100.0
304,462.54,7.05,9.03,1915.37,0.94,0.02,305,1915,84.93
305,449.44,5.48,8.0,2222.92,1.02,0.02,332,2223,100.0
306,445.0,3.91,5.71,2211.86,1.02,0.02,331,2212,100.0
307,491.19,9.35,13.65,2323.93,1.08,0.02,363,2324,100.0
308,449.44,5.48,8.0,2222.88,1.02,0.02,332,2223,100.0
309,445.0,3.91,5.71,2211.88,1.02,0.02,330,2212,100.0
310,489.05,10.52,15.49,2318.86,1.26,0.03,370,2319,100.0
311,462.54,7.05,9.02,1915.28,0.94,0.02,307,1915,84.93
312,445.0,3.91,5.72,2211.92,1.02,0.02,331,2212,100.0
313,518.67,14.62,21.61,2388.05,1.3,0.03,391,2388,100.0
314,518.67,14.62,21.61,2388.03,1.3,0.03,392,2388,100.0
315,518.67,14.62,21.61,2388.06,1.3,0.03,391,2388,100.0
316,445.0,3.91,5.71,2211.88,1.02,0.02,331,2212,100.0
317,489.05,10.52,15.49,2318.94,1.26,0.03,369,2319,100.0
318,489.05,10.52,15.49,2318.92,1.26,0.03,369,2319,100.0
319,462.54,7.05,9.03,1915.36,0.94,0.02,306,1915,84.93
320,462.54,7.05,9.03,1915.33,0.94,0.02,306,1915,84.93
321,518.67,14.62,21.61,2388.09,1.3,0.03,392,2388,100.0
322,445.0,3.91,5.71,2211.85,1.02,0.02,331,2212,100.0
323,518.67,14.62,21.61,2388.06,1.3,0.03,392,2388,100.0
324,445.0,3.91,5.71,2211.86,1.02,0.02,330,2212,100.0
325,449.44,5.48,8.0,2222.89,1.02,0.02,333,2223,100.0
326,489.05,10.52,15.49,2318.91,1.26,0.03,369,2319,100.0
327,518.67,14.62,21.61,2388.04,1.3,0.03,391,2388,100.0
328,489.05,10.52,15.49,2318.92,1.26,0.03,370,2319,100.0
329,445.0,3.91,5.72,2211.89,1.02,0.02,330,2212,100.0
330,491.19,9.35,13.66,2323.93,1.08,0.02,366,2324,100.0
331,518.67,14.62,21.61,2388.04,1.3,0.03,392,2388,100.0
332,445.0,3.91,5.71,2211.87,1.02,0.02,329,2212,100.0
333,491.19,9.35,13.66,2323.89,1.07,0.02,365,2324,100.0
334,449.44,5.48,8.0,2222.86,1.02,0.02,333,2223,100.0
335,449.44,5.48,8.0,2222.98,1.02,0.02,333,2223,100.0
336,491.19,9.35,13.66,2323.93,1.08,0.02,365,2324,100.0
337,489.05,10.52,15.49,2318.94,1.26,0.03,370,2319,100.0
338,445.0,3.91,5.72,2211.79,1.02,0.02,331,2212,100.0
339,491.19,9.35,13.65,2323.98,1.08,0.02,365,2324,100.0
340,491.19,9.35,13.66,2323.95,1.08,0.02,365,2324,100.0
341,491.19,9.35,13.66,2323.97,1.08,0.02,366,2324,100.0
342,445.0,3.91,5.71,2211.78,1.02,0.02,331,2212,100.0
343,491.19,9.35,13.65,2323.96,1.08,0.03,365,2324,100.0
344,491.19,9.35,13.66,2323.92,1.08,0.02,366,2324,100.0
345,445.0,3.91,5.71,2211.72,1.02,0.02,331,2212,100.0
346,491.19,9.35,13.66,2323.99,1.08,0.02,367,2324,100.0
347,491.19,9.35,13.66,2323.96,1.08,0.02,365,2324,100.0
348,462.54,7.05,9.03,1915.24,0.94,0.02,307,1915,84.93
349,449.44,5.48,8.0,2222.83,1.02,0.02,335,2223,100.0
350,518.67,14.62,21.61,2388.1,1.3,0.03,394,2388,100.0
351,489.05,10.52,15.49,2318.96,1.26,0.03,370,2319,100.0
352,449.44,5.48,8.0,2222.77,1.02,0.02,333,2223,100.0
353,462.54,7.05,9.02,1915.23,0.94,0.02,308,1915,84.93
354,489.05,10.52,15.49,2319.01,1.26,0.03,370,2319,100.0
355,445.0,3.91,5.72,2211.68,1.02,0.02,332,2212,100.0
356,518.67,14.62,21.61,2388.18,1.3,0.03,394,2388,100.0
357,491.19,9.35,13.66,2324.0,1.07,0.02,366,2324,100.0
358,491.19,9.35,13.66,2323.98,1.07,0.02,366,2324,100.0
359,491.19,9.35,13.66,2324.0,1.08,0.02,367,2324,100.0
360,489.05,10.52,15.5,2319.03,1.26,0.03,370,2319,100.0
361,462.54,7.05,9.03,1915.28,0.94,0.02,309,1915,84.93
362,491.19,9.35,13.66,2324.02,1.08,0.02,367,2324,100.0
363,491.19,9.35,13.66,2323.99,1.08,0.02,366,2324,100.0
364,518.67,14.62,21.61,2388.18,1.3,0.03,395,2388,100.0
365,449.44,5.48,8.0,2222.72,1.02,0.02,334,2223,100.0
366,445.0,3.91,5.71,2211.59,1.02,0.02,332,2212,100.0
367,445.0,3.91,5.72,2211.71,1.02,0.02,331,2212,100.0
368,445.0,3.91,5.71,2211.6,1.02,0.02,330,2212,100.0
369,445.0,3.91,5.71,2211.61,1.02,0.02,332,2212,100.0
370,445.0,3.91,5.72,2211.64,1.02,0.02,333,2212,100.0
371,518.67,14.62,21.61,2388.23,1.3,0.03,396,2388,100.0
372,491.19,9.35,13.66,2324.02,1.07,0.03,368,2324,100.0
373,518.67,14.62,21.61,2388.2,1.3,0.03,396,2388,100.0
374,445.0,3.91,5.72,2211.58,1.02,0.02,334,2212,100.0
375,445.0,3.91,5.72,2211.52,1.02,0.02,333,2212,100.0
376,449.44,5.48,8.0,2222.58,1.02,0.02,336,2223,100.0
377,449.44,5.48,8.0,2222.68,1.02,0.02,336,2223,100.0
378,445.0,3.91,5.71,2211.48,1.02,0.02,331,2212,100.0
379,445.0,3.91,5.72,2211.44,1.02,0.02,334,2212,100.0
380,489.05,10.52,15.5,2319.2,1.26,0.03,373,2319,100.0
381,449.44,5.48,8.0,2222.65,1.02,0.02,337,2223,100.0
382,518.67,14.62,21.61,2388.28,1.3,0.03,394,2388,100.0
383,445.0,3.91,5.71,2211.38,1.02,0.02,334,2212,100.0
384,518.67,14.62,21.61,2388.3,1.3,0.03,395,2388,100.0
