,Sensor_1,Sensor_2,Sensor_3,Sensor_6,Sensor_8,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_19,Sensor_20,Health_state
337,605.12,1497.89,1304.85,394.34,8778.86,45.5,371.81,2388.15,8126.41,8.6583,28.51,17.1804,4
351,604.53,1502.85,1311.65,394.76,8769.12,45.63,371.07,2388.23,8119.96,8.6692,28.48,17.0841,4
354,605.12,1505.0,1314.49,393.51,8771.26,45.59,371.31,2388.21,8124.63,8.6611,28.45,17.0347,4
360,604.76,1494.81,1317.69,393.73,8760.75,45.63,371.27,2388.2,8121.23,8.6613,28.53,17.1376,4
380,605.4,1512.29,1336.28,393.44,8766.55,46.03,370.15,2388.41,8110.57,8.7341,28.23,16.927,4
398,604.88,1505.1,1308.8,394.34,8764.6,45.56,371.23,2388.25,8111.94,8.6949,28.63,17.1308,3
404,605.34,1501.01,1303.84,394.0,8766.05,45.46,371.83,2388.16,8111.26,8.6985,28.52,17.1037,3
406,605.04,1493.97,1309.61,394.33,8753.54,45.37,371.71,2388.18,8115.61,8.677999999999999,28.46,17.1208,3
409,604.67,1498.76,1310.74,393.58,8761.29,45.57,371.92,2388.18,8116.16,8.6817,28.63,17.0753,3
413,604.5,1496.41,1309.56,394.18,8756.39,45.31,371.23,2388.18,8110.47,8.667,28.46,17.1319,3
415,605.59,1504.4,1309.21,394.04,8766.74,45.39,370.98,2388.21,8115.01,8.6416,28.51,17.0196,3
431,605.09,1498.03,1311.12,394.08,8761.78,45.43,371.56,2388.22,8116.26,8.6764,28.5,17.1673,3
435,604.92,1502.81,1306.91,393.76,8766.03,45.5,371.47,2388.19,8112.47,8.6591,28.54,17.1095,3
452,604.7,1502.73,1315.87,394.26,8765.42,45.48,371.29,2388.15,8106.41,8.6929,28.5,17.1349,3
464,605.13,1503.14,1314.23,394.31,8752.32,45.64,371.4,2388.2,8117.85,8.6627,28.6,17.0722,3
473,605.16,1503.55,1312.29,393.75,8763.78,45.58,371.34,2388.25,8116.15,8.6661,28.42,17.0586,3
474,604.99,1502.16,1308.63,393.73,8763.33,45.52,371.2,2388.28,8109.17,8.6626,28.45,17.0242,3
479,605.02,1510.41,1316.83,394.2,8764.29,45.59,370.81,2388.23,8107.91,8.6829,28.6,17.1036,3
490,605.64,1501.65,1318.18,393.74,8763.62,45.57,371.19,2388.2,8108.35,8.7023,28.16,17.0278,4
494,605.65,1507.46,1322.6,394.1,8760.33,45.86,371.41,2388.23,8112.71,8.6778,28.48,17.0723,4
495,605.93,1504.8,1316.54,393.76,8761.25,45.75,370.86,2388.32,8112.64,8.6673,28.42,17.0321,4
527,606.06,1507.94,1329.26,392.99,8754.68,46.11,370.05,2388.35,8104.17,8.7366,28.34,17.0359,4
533,605.99,1519.22,1328.36,393.37,8751.98,46.04,369.89,2388.42,8105.74,8.7581,28.28,17.0641,4
535,605.85,1514.51,1331.53,392.53,8754.75,45.96,369.97,2388.44,8098.8,8.6841,28.26,17.0106,4
538,604.34,1502.99,1309.62,395.0,8774.32,45.17,371.61,2388.07,8124.93,8.6194,28.68,17.1913,2
539,604.74,1498.37,1302.07,394.79,8769.88,45.35,372.07,2388.04,8124.82,8.6289,28.53,17.0733,2
541,604.44,1492.26,1300.77,394.93,8775.49,45.37,371.94,2388.09,8120.45,8.6162,28.68,17.2438,2
543,604.48,1501.5,1300.69,394.71,8775.83,45.19,372.21,2388.09,8129.26,8.6258,28.68,17.1376,2
547,604.99,1499.5,1305.08,394.17,8773.18,45.24,371.81,2388.1,8124.89,8.6769,28.53,17.1418,3
549,604.53,1501.53,1310.84,394.69,8773.99,45.37,371.89,2388.16,8130.27,8.6351,28.74,17.1687,3
552,604.13,1501.26,1303.29,395.02,8769.94,45.44,371.47,2388.11,8128.03,8.6221,28.63,17.1347,3
554,604.11,1497.59,1308.79,394.77,8771.68,45.41,371.25,2388.11,8122.51,8.6035,28.44,17.1901,3
561,604.13,1503.55,1308.15,394.87,8772.85,45.2,371.99,2388.09,8123.58,8.6889,28.89,17.1166,3
568,604.83,1500.13,1299.59,394.51,8782.69,45.14,371.71,2388.11,8131.64,8.641,28.38,17.1639,3
575,604.39,1491.62,1306.59,394.78,8771.46,45.25,371.95,2388.12,8126.83,8.6263,28.57,17.1709,3
584,605.0,1494.1,1308.53,394.95,8766.17,45.31,372.29,2388.09,8129.03,8.6312,28.58,17.1205,3
595,604.82,1496.71,1308.93,394.07,8776.58,45.34,371.75,2388.11,8125.99,8.6638,28.56,17.2375,3
598,605.31,1494.3,1304.75,394.75,8769.62,45.45,371.86,2388.12,8123.65,8.6457,28.66,17.1983,3
600,604.79,1499.99,1314.69,394.74,8779.44,45.44,371.84,2388.17,8131.16,8.6712,28.6,17.1819,3
603,604.93,1495.65,1309.95,394.12,8776.5,45.45,371.24,2388.2,8128.82,8.6778,28.58,17.2098,3
605,605.02,1494.49,1311.03,394.79,8777.31,45.4,371.29,2388.08,8124.87,8.6817,28.4,17.0561,3
607,604.56,1498.97,1312.72,394.28,8783.94,45.31,371.41,2388.13,8126.93,8.6283,28.53,17.2208,3
616,604.79,1497.44,1305.09,394.49,8773.14,45.37,371.63,2388.14,8132.07,8.6703,28.68,17.1432,3
617,604.34,1497.0,1308.95,394.76,8776.19,45.42,371.32,2388.1,8126.64,8.6782,28.46,17.1922,3
621,604.79,1500.71,1313.29,393.9,8776.18,45.35,371.54,2388.08,8126.87,8.6594,28.58,17.1468,3
624,605.01,1499.1,1307.74,394.6,8769.2,45.48,371.89,2388.17,8128.18,8.6363,28.41,17.0818,3
628,604.91,1496.88,1304.65,394.06,8786.26,45.35,371.35,2388.13,8127.88,8.6463,28.62,17.1,3
632,604.79,1494.25,1309.34,394.54,8781.96,45.49,371.65,2388.22,8126.54,8.6745,28.4,17.0596,3
637,604.68,1511.71,1311.47,394.36,8779.63,45.41,371.72,2388.14,8133.02,8.6371,28.65,17.1717,3
638,604.75,1493.7,1304.59,394.89,8785.46,45.55,371.49,2388.16,8137.54,8.6759,28.27,17.0952,3
643,605.18,1506.79,1312.54,393.92,8779.14,45.52,371.19,2388.18,8129.31,8.649,28.51,17.0733,3
644,605.07,1513.01,1313.9,394.36,8781.01,45.47,371.22,2388.14,8130.73,8.6589,28.56,17.1132,3
653,604.97,1501.2,1315.62,394.38,8786.23,45.71,371.32,2388.15,8138.3,8.6505,28.47,17.045,4
665,605.54,1513.39,1311.45,394.08,8784.15,45.7,371.28,2388.23,8141.59,8.7137,28.42,17.0488,4
669,605.59,1506.96,1325.59,393.57,8792.37,45.57,370.66,2388.26,8139.41,8.6983,28.21,17.2275,4
676,605.32,1505.94,1320.68,393.5,8799.6,45.96,370.92,2388.26,8147.38,8.7193,28.37,17.0036,4
682,605.85,1503.1,1327.91,393.03,8804.62,45.99,371.25,2388.3,8146.36,8.7246,28.33,16.994,4
684,605.68,1504.07,1329.03,393.21,8809.12,46.11,370.26,2388.26,8148.11,8.7217,28.41,17.0567,4
690,605.54,1518.83,1326.19,393.55,8819.77,46.01,370.37,2388.34,8162.85,8.6812,28.09,17.0778,4
703,604.88,1499.99,1302.21,394.77,8773.01,45.3,371.69,2388.11,8128.75,8.634,28.68,17.0616,1
704,604.81,1500.42,1297.87,395.55,8774.13,45.25,372.1,2388.14,8125.66,8.6075,28.67,17.1446,1
709,605.26,1497.32,1299.36,394.27,8771.06,45.26,371.66,2388.15,8122.67,8.6074,28.67,17.1569,1
712,604.15,1500.62,1307.59,395.1,8770.86,45.15,372.1,2388.1,8120.92,8.6116,28.57,17.1824,1
733,604.61,1495.08,1305.01,394.64,8770.59,45.25,371.61,2388.07,8124.88,8.65,28.65,17.2208,1
735,604.62,1494.77,1303.45,394.89,8772.52,45.06,371.16,2388.08,8128.8,8.6703,28.51,17.1478,1
737,604.57,1500.25,1306.66,394.03,8774.25,45.16,371.88,2388.09,8124.05,8.6459,28.71,17.1731,1
747,604.62,1496.93,1302.61,394.56,8770.62,45.27,371.66,2388.08,8126.27,8.6602,28.64,17.1446,1
748,604.75,1495.91,1309.16,394.14,8769.15,45.09,371.61,2388.13,8121.8,8.6287,28.48,17.1617,1
752,604.49,1496.06,1303.25,395.56,8769.55,45.38,371.94,2388.07,8126.79,8.626,28.55,17.2124,1
753,605.11,1503.11,1304.1,394.68,8768.58,45.39,372.02,2388.06,8124.88,8.6543,28.51,17.1011,1
754,604.21,1494.49,1305.46,394.43,8774.26,45.34,371.98,2388.01,8118.74,8.6481,28.46,17.1427,1
757,604.44,1502.17,1302.2,394.55,8772.18,45.43,372.18,2388.14,8124.74,8.6166,28.72,17.0972,1
763,604.44,1505.65,1307.28,394.88,8769.44,45.51,372.04,2388.13,8128.44,8.6268,28.8,17.1785,1
765,604.61,1490.93,1307.22,394.49,8774.15,45.3,372.19,2388.06,8124.21,8.6531,28.58,17.2509,1
769,604.54,1494.21,1305.73,394.58,8775.98,45.27,371.79,2388.12,8123.98,8.6692,28.6,17.2036,1
770,605.06,1497.18,1312.84,395.08,8772.83,45.37,371.76,2388.07,8125.53,8.6224,28.66,17.2031,1
775,604.63,1503.08,1308.77,395.14,8773.6,45.33,371.68,2388.08,8127.38,8.6236,28.67,17.2332,1
779,604.42,1495.18,1309.63,394.11,8772.19,45.45,372.57,2388.11,8123.99,8.6537,28.57,17.1838,1
780,604.75,1500.19,1296.67,394.78,8776.53,45.43,372.02,2388.14,8126.94,8.6678,28.8,17.1615,1
787,604.5,1493.9,1306.35,395.59,8780.18,45.1,371.91,2388.11,8125.2,8.6485,28.53,17.1657,1
788,604.78,1499.27,1305.95,394.71,8777.07,45.4,371.61,2388.1,8128.84,8.6763,28.66,17.0262,1
794,604.67,1498.34,1298.64,394.95,8772.96,45.32,371.78,2388.11,8127.41,8.6072,28.58,17.1214,1
798,604.31,1500.15,1300.8,395.07,8773.28,45.33,372.05,2388.18,8124.92,8.6415,28.76,17.1535,1
799,604.71,1497.92,1306.57,394.56,8779.44,45.3,372.02,2388.12,8125.58,8.6303,28.46,17.0323,1
800,605.13,1497.7,1296.64,395.05,8783.65,45.42,372.38,2388.14,8125.0,8.6585,28.45,17.0739,1
804,604.59,1497.75,1310.61,394.29,8769.05,45.45,371.47,2388.08,8128.54,8.6366,28.5,17.1407,1
808,603.92,1499.82,1302.76,395.01,8773.32,45.29,371.64,2388.11,8120.68,8.63,28.57,17.078,1
810,604.63,1497.53,1314.85,395.02,8777.5,45.31,372.1,2388.09,8125.61,8.6195,28.75,17.1095,1
812,604.84,1492.35,1310.6,395.76,8772.6,45.33,372.21,2388.12,8129.27,8.6508,28.72,17.1254,1
831,604.47,1500.4,1302.46,394.03,8776.87,45.41,372.19,2388.09,8126.63,8.6573,28.56,17.0721,1
838,603.88,1502.22,1307.73,394.57,8773.06,45.29,371.59,2388.12,8121.88,8.6362,28.67,17.1595,1
842,604.26,1492.88,1306.1,395.2,8770.14,45.24,371.86,2388.14,8126.64,8.6403,28.53,17.0721,1
863,604.8,1501.31,1304.4,394.34,8780.65,45.4,371.77,2388.15,8125.89,8.6335,28.62,17.1996,2
865,604.55,1511.35,1305.71,395.67,8781.29,45.29,371.67,2388.12,8127.04,8.6449,28.64,17.1493,2
881,604.99,1501.63,1303.28,394.62,8785.87,45.3,371.7,2388.09,8130.92,8.6428,28.6,17.0528,2
897,605.23,1499.35,1310.68,394.06,8778.01,45.52,371.79,2388.18,8130.73,8.629,28.45,17.2416,2
902,605.19,1494.6,1312.24,393.78,8779.73,45.57,372.14,2388.11,8138.11,8.6221,28.58,17.1428,2
911,604.39,1495.04,1307.02,394.62,8781.23,45.45,371.5,2388.17,8133.58,8.6438,28.53,17.0279,3
912,604.87,1496.36,1307.42,394.37,8780.24,45.33,371.25,2388.14,8139.23,8.6402,28.65,17.1367,3
913,604.99,1497.19,1310.93,395.13,8779.75,45.46,371.45,2388.11,8127.64,8.6596,28.61,17.0819,3
919,605.17,1509.22,1314.38,394.9,8786.69,45.31,371.6,2388.15,8131.84,8.6325,28.71,17.025,3
926,604.49,1503.46,1309.49,394.2,8792.79,45.49,371.83,2388.08,8136.56,8.6539,28.54,17.1761,3
942,604.67,1504.39,1311.86,394.58,8786.82,45.58,371.52,2388.16,8134.44,8.6563,28.4,17.0952,3
943,605.08,1505.55,1309.34,394.15,8788.23,45.43,371.31,2388.24,8130.62,8.6589,28.46,17.0928,3
944,604.95,1506.39,1316.3,394.21,8793.8,45.36,371.15,2388.24,8138.73,8.6615,28.6,17.0227,3
951,605.09,1505.74,1307.45,393.67,8785.19,45.55,371.24,2388.17,8145.87,8.6646,28.48,17.2371,3
954,604.38,1504.97,1309.67,394.06,8789.36,45.58,371.53,2388.14,8145.11,8.6774,28.71,17.1174,3
962,605.16,1502.35,1311.7,393.65,8795.71,45.76,371.02,2388.16,8144.47,8.6678,28.63,17.0143,3
981,605.4,1502.89,1321.8,393.7,8799.94,45.89,371.31,2388.19,8143.65,8.669,28.64,17.1055,3
984,605.49,1508.75,1315.73,393.73,8804.74,45.79,371.21,2388.21,8142.3,8.6904,28.44,17.0112,3
989,605.69,1505.97,1320.21,393.88,8804.38,45.56,371.18,2388.18,8146.77,8.6773,28.47,17.0564,3
996,605.53,1510.51,1317.82,394.37,8799.49,45.83,370.96,2388.24,8149.11,8.7154,28.28,17.0561,3
997,604.82,1507.07,1327.53,393.55,8806.38,45.78,371.2,2388.23,8148.66,8.7217,28.37,17.0953,3
999,605.43,1511.15,1314.05,393.78,8803.62,45.5,370.71,2388.26,8149.34,8.6803,28.37,16.985,3
1011,605.3,1507.5,1323.24,392.45,8808.7,45.62,370.72,2388.3,8148.77,8.7384,28.47,17.1004,4
1012,605.16,1505.82,1321.48,393.87,8818.38,45.82,371.21,2388.26,8155.75,8.6836,28.3,17.1729,4
1015,605.16,1514.09,1324.13,394.1,8812.71,45.94,370.64,2388.26,8157.98,8.7,28.4,17.1166,4
1028,605.87,1520.87,1327.13,393.16,8819.91,45.74,370.59,2388.33,8167.95,8.7105,28.36,17.0364,4
1031,605.91,1513.69,1326.56,393.96,8815.71,45.91,370.59,2388.31,8167.89,8.7043,28.32,17.0254,4
1046,605.53,1510.78,1328.14,393.72,8827.27,46.07,370.29,2388.39,8171.35,8.7643,28.37,17.0014,4
1050,605.64,1509.87,1326.18,392.69,8835.9,46.03,370.73,2388.37,8173.19,8.7506,28.5,16.8893,4
1055,604.23,1497.05,1297.41,394.94,8785.08,45.06,372.35,2388.06,8136.52,8.6265,28.58,17.1486,1
1061,604.69,1491.81,1302.29,394.45,8790.27,45.3,371.85,2388.01,8138.31,8.6336,28.52,17.2251,1
1089,604.11,1502.14,1299.26,394.68,8779.52,45.05,372.1,2387.99,8131.86,8.596,28.67,17.097,2
1101,604.22,1497.84,1296.69,396.07,8786.54,45.13,372.05,2388.05,8134.02,8.6214,28.5,17.2172,2
1106,604.92,1492.6,1301.69,395.3,8784.68,45.05,372.01,2388.07,8140.0,8.6019,28.89,17.2632,2
1109,604.44,1495.21,1306.83,395.61,8781.62,45.39,371.42,2388.04,8133.98,8.6154,28.56,17.0701,2
1122,604.79,1502.63,1297.68,395.23,8779.79,45.16,371.89,2388.1,8130.28,8.6643,28.47,17.1687,2
1123,604.56,1502.48,1306.14,395.13,8787.73,45.27,372.02,2388.05,8133.91,8.615,28.84,17.1938,2
1124,604.99,1496.46,1300.93,395.24,8787.31,45.13,371.58,2388.11,8137.2,8.612,28.8,17.2924,2
1142,604.49,1491.06,1297.24,394.97,8778.85,45.36,371.87,2388.1,8137.12,8.6354,28.66,17.1485,3
1143,604.9,1496.91,1298.41,394.8,8787.78,45.27,371.99,2388.07,8138.57,8.6164,28.72,17.2465,3
1154,604.24,1497.77,1302.88,394.76,8784.17,45.28,371.71,2388.06,8142.79,8.6899,28.49,17.1912,3
1156,604.47,1496.9,1304.52,394.29,8784.16,45.31,371.94,2388.13,8134.94,8.6498,28.72,17.213,3
1166,605.01,1496.19,1305.63,395.44,8782.65,45.21,371.86,2388.05,8135.61,8.6201,28.77,17.0415,3
1180,604.61,1499.57,1299.4,393.68,8787.46,45.3,371.42,2388.05,8148.57,8.6684,28.53,17.0964,3
1182,604.62,1496.95,1296.69,394.64,8798.07,45.54,371.76,2388.1,8143.75,8.6316,28.77,17.2689,3
1183,604.56,1501.87,1300.22,394.54,8789.42,45.26,371.49,2388.07,8148.53,8.6538,28.52,17.2175,3
1184,604.76,1498.14,1310.68,394.47,8792.75,45.44,371.72,2388.11,8136.12,8.6857,28.8,17.0949,3
1187,604.62,1500.3,1307.95,394.99,8799.85,45.38,371.91,2388.18,8141.92,8.6689,28.56,17.0832,3
1202,604.67,1508.8,1306.11,394.58,8793.66,45.37,371.91,2388.12,8141.54,8.6635,28.63,17.0629,3
1205,604.97,1501.29,1313.46,394.19,8788.57,45.45,371.61,2388.16,8143.23,8.6431,28.46,17.1166,3
1209,604.9,1506.75,1311.42,394.18,8797.27,45.35,371.41,2388.16,8142.6,8.6723,28.53,17.2678,3
1218,605.1,1500.91,1319.15,393.88,8803.3,45.45,371.01,2388.14,8151.95,8.6712,28.43,17.1682,3
1240,605.03,1501.44,1317.94,394.31,8814.35,45.85,370.93,2388.23,8156.81,8.6404,28.33,17.0384,4
1242,605.48,1500.83,1319.17,393.67,8824.93,45.83,370.72,2388.24,8161.19,8.7108,28.36,17.1633,4
1260,605.09,1508.26,1330.32,393.34,8840.51,45.82,370.44,2388.31,8177.53,8.7012,28.34,16.9975,4
1267,606.13,1509.6,1330.38,393.12,8845.73,45.78,370.78,2388.43,8180.57,8.7434,28.27,16.9757,4
1268,605.84,1510.91,1330.11,393.19,8847.43,46.1,371.01,2388.33,8185.4,8.721,28.23,17.0295,4
1272,606.44,1511.43,1334.59,392.75,8849.45,46.11,370.42,2388.39,8200.05,8.7484,28.36,16.9584,4
1286,603.97,1497.05,1302.28,394.91,8783.92,45.08,371.96,2388.11,8134.08,8.6264,28.67,17.0714,2
1291,604.17,1498.92,1301.39,394.98,8787.66,45.21,371.63,2388.06,8136.27,8.5831,28.57,17.1864,2
1295,604.77,1495.29,1301.56,395.33,8777.02,45.25,372.32,2388.11,8129.95,8.6009,28.55,17.235,2
1304,604.49,1495.84,1297.75,395.02,8782.89,45.28,372.04,2388.01,8136.92,8.6125,28.51,17.3012,3
1305,605.0,1493.81,1300.19,394.79,8782.36,45.19,372.12,2388.03,8136.92,8.6477,28.42,17.0885,3
1306,605.01,1494.86,1303.92,394.46,8782.32,45.21,371.54,2388.04,8136.59,8.5906,28.73,17.2431,3
1314,604.36,1488.69,1309.29,394.41,8785.03,45.24,372.15,2388.03,8141.99,8.6568,28.61,17.2356,3
1317,604.16,1495.14,1302.19,395.45,8791.25,45.13,372.02,2388.05,8132.86,8.6005,28.68,17.1952,3
1328,604.69,1495.26,1300.14,394.09,8784.79,45.26,371.61,2388.09,8131.8,8.6603,28.65,17.1494,3
1359,604.52,1496.78,1299.44,394.73,8777.73,45.42,371.34,2388.1,8130.13,8.6418,28.73,17.1468,3
1372,604.7,1502.54,1303.03,395.07,8784.01,45.36,371.99,2388.09,8128.99,8.6538,28.61,17.1638,3
1375,604.68,1499.69,1304.19,394.54,8782.66,45.4,371.2,2388.09,8129.65,8.6665,28.49,17.1736,3
1378,604.86,1501.07,1308.47,394.15,8777.52,45.4,371.41,2388.14,8135.79,8.6634,28.59,17.1376,3
1379,604.67,1497.99,1313.6,395.14,8785.27,45.24,371.52,2388.09,8133.58,8.6487,28.56,17.3273,3
1380,605.08,1490.81,1309.47,394.72,8788.77,45.46,371.42,2388.16,8137.98,8.6126,28.8,17.1368,3
1381,604.04,1510.91,1310.99,394.64,8780.68,45.41,371.83,2388.08,8131.57,8.6427,28.52,17.1365,3
1382,605.02,1497.68,1299.62,394.21,8790.7,45.29,371.94,2388.13,8135.51,8.6265,28.58,17.1634,3
1400,604.71,1506.57,1313.47,395.12,8779.25,45.7,371.55,2388.16,8136.41,8.6887,28.45,17.0548,4
1429,605.55,1503.5,1325.84,393.38,8778.77,45.83,370.66,2388.33,8127.24,8.6822,28.5,17.0719,4
1430,605.67,1509.94,1323.6,393.39,8786.82,45.71,370.49,2388.31,8130.05,8.7206,28.47,17.0872,4
1431,605.25,1509.8,1317.01,393.02,8787.27,45.79,370.84,2388.29,8129.62,8.7054,28.38,17.0668,4
1435,605.18,1506.29,1319.28,393.38,8782.27,45.85,370.94,2388.33,8126.33,8.696,28.25,16.9427,4
1451,604.61,1496.62,1305.75,395.27,8772.78,45.04,372.02,2388.06,8128.4,8.5934,28.81,17.1189,1
1459,604.32,1496.35,1302.49,394.54,8772.76,45.19,372.3,2388.03,8124.23,8.6454,28.65,17.1962,1
1465,603.89,1488.84,1304.35,395.27,8769.33,45.11,372.34,2388.01,8126.49,8.6123,28.64,17.2548,1
1469,604.13,1490.42,1301.45,395.38,8771.42,45.1,372.05,2388.03,8130.67,8.5882,28.75,17.1985,1
1470,604.33,1500.01,1303.79,394.61,8769.51,45.02,372.21,2388.01,8129.86,8.6033,28.77,17.3464,1
1472,603.85,1493.85,1301.85,394.77,8768.97,45.17,371.67,2387.99,8124.68,8.6353,28.79,17.2764,1
1484,604.29,1495.54,1293.2,395.13,8769.16,45.0,371.75,2388.03,8134.67,8.6101,28.79,17.3375,1
1493,604.31,1491.08,1298.69,395.34,8770.68,45.19,372.23,2388.01,8126.38,8.5978,28.67,17.168,1
1497,604.51,1489.37,1303.48,395.62,8772.48,45.12,371.99,2388.08,8126.44,8.6277,28.73,17.156,1
1498,603.93,1496.99,1296.06,395.22,8772.95,45.09,372.14,2387.97,8125.96,8.6341,28.76,17.1866,1
1507,604.62,1499.79,1301.3,395.6,8772.06,45.16,372.27,2388.03,8133.99,8.6096,28.74,17.29,1
1512,604.52,1495.7,1303.28,395.54,8772.41,45.19,372.16,2388.04,8125.41,8.6418,28.59,17.1956,1
1515,604.35,1502.36,1309.42,395.08,8772.1,45.02,372.64,2387.98,8126.96,8.6414,28.58,17.1895,1
